,Unnamed: 0,Brand,Name,Colour,Storage,Battery,Camera_Pixel,Selfie_cam_pixel,Display_size,RAM,Star_ratings,Users_rated,Price
75,75,Oppo,OPPO F11,Aurora Green,64.0,4000.0,48,16,16.51,6.0,4.5,128.0,28990.0
76,76,Oppo,OPPO F11,Thunder Black,128.0,4000.0,48,16,16.51,6.0,4.5,128.0,29990.0
77,77,Oppo,OPPO F17,Dynamic Orange,128.0,4015.0,16,16,16.36,6.0,4.3,7178.0,17989.0
78,78,Oppo,OPPO Reno2,Lake Green,256.0,4000.0,48,16,16.51,6.0,4.5,81874.0,19990.0
79,79,Oppo,OPPO A9,Marine Green,128.0,5000.0,48,16,16.51,4.0,4.4,101.0,18990.0
80,80,Oppo,OPPO A9,Space Purple,128.0,5000.0,48,16,16.51,4.0,4.4,101.0,18990.0
81,81,Oppo,OPPO A9,Marine Green,128.0,5000.0,48,16,16.51,8.0,4.3,61836.0,21990.0
82,82,Oppo,OPPO A9,Space Purple,128.0,5000.0,48,16,16.51,8.0,4.3,61836.0,21990.0
83,83,Oppo,OPPO Reno2,Sky White,128.0,4000.0,48,16,16.51,8.0,4.4,4665.0,28990.0
84,84,Oppo,OPPO A9,Vanilla Mint,128.0,5000.0,48,16,16.56,8.0,4.3,61836.0,21990.0
85,85,Oppo,OPPO A9,Vanilla Mint,128.0,5000.0,48,16,16.56,4.0,4.4,101.0,18990.0
86,86,Oppo,OPPO F15,Lightening Black,128.0,4000.0,48,16,16.26,8.0,4.4,22604.0,22990.0
87,87,Oppo,OPPO F15,Blazing Blue,128.0,4000.0,48,16,16.26,4.0,4.4,41712.0,20990.0
88,88,Oppo,OPPO F15,Unicorn White,128.0,4000.0,48,16,16.26,4.0,4.4,41712.0,20990.0
89,89,Oppo,OPPO Reno3,Midnight Black,256.0,4025.0,64,44,16.26,8.0,4.4,4683.0,35990.0
0,0,Samsung,SAMSUNG Galaxy,Denim Blue,64.0,6000.0,48,13,16.26,4.0,4.3,97409.0,11999.0
1,1,Samsung,SAMSUNG Galaxy,Sea Green,512.0,6000.0,48,8,16.55,4.0,4.3,295.0,11499.0
2,2,Samsung,SAMSUNG GALAXY,Midnight Blue,128.0,6000.0,50,50,16.76,6.0,4.0,209.0,13690.0
3,3,Samsung,SAMSUNG Galaxy,Matte Aqua,128.0,5000.0,64,8,16.76,8.0,4.1,5228.0,22999.0
